WGTP,FINCP,PUMA,ST,
71,110000,08623,12,
119,67600,12703,12,
48,76500,02101,12,
91,69200,08617,12,
53,110200,00901,12,
103,80000,08103,12,
25,95000,08301,12,
84,179400,08605,12,
262,25090,05702,12,
66,63000,08500,12,
58,1017000,05704,12,
36,40000,10502,12,
42,699000,08614,12,
26,235000,03106,12,
91,80100,11102,12,
70,29800,08619,12,
67,78100,09908,12,
17,20000,01398,12,
105,43580,00905,12,
99,84600,11503,12,
65,120600,01700,12,
79,33500,01500,12,
73,89000,08615,12,
97,145000,09703,12,
115,68500,03105,12,
87,51000,09909,12,
155,35000,09509,12,
54,32000,01116,12,
42,62760,01700,12,
59,123000,07105,12,
41,36000,01110,12,
65,203000,06100,12,
64,148000,07101,12,
45,155380,08620,12,
61,68100,05707,12,
273,120000,08624,12,
87,146000,08604,12,
215,46000,06903,12,
49,201200,11300,12,
37,110000,00901,12,
52,50100,07301,12,
23,102460,09903,12,
40,124800,11502,12,
44,165000,01117,12,
39,4700,08301,12,
131,71000,01104,12,
101,286000,08610,12,
67,120000,07102,12,
109,57600,05199,12,
151,57500,10903,12,
63,272000,09908,12,
442,60000,08625,12,
251,110000,11101,12,
50,673800,07105,12,
116,108200,11103,12,
94,71000,09507,12,
82,61500,01500,12,
29,119750,07301,12,
13,221000,08102,12,
71,41800,06903,12,
52,280000,08616,12,
57,303700,00398,12,
99,231000,05705,12,
59,104000,02102,12,
32,38500,02103,12,
80,33900,06902,12,
39,63200,12703,12,
110,104500,02101,12,
285,48000,01105,12,
90,60000,08103,12,
139,49200,10307,12,
37,55700,02799,12,
45,89000,09902,12,
80,9510,12703,12,
181,80000,01700,12,
40,38900,07103,12,
256,240000,10903,12,
97,218000,08604,12,
50,155400,02101,12,
153,140000,12703,12,
51,145950,08602,12,
98,92000,09902,12,
62,68300,10503,12,
156,26000,08625,12,
120,187000,09703,12,
201,155000,08624,12,
364,137200,05708,12,
31,475000,09902,12,
186,153400,01105,12,
57,679250,09911,12,
342,54000,05708,12,
38,245600,05300,12,
63,153330,01103,12,
149,42400,08603,12,
51,45300,08101,12,
86,68000,00901,12,
51,20230,00904,12,
128,165800,09510,12,
91,343000,09502,12,
82,75000,09509,12,
29,41060,08606,12,
109,123100,10502,12,
162,14220,08602,12,
50,62000,09908,12,
54,39900,05704,12,
39,71000,09903,12,
132,112000,10501,12,
135,52000,11300,12,
54,299300,10308,12,
58,1041000,08614,12,
50,220000,11704,12,
72,140000,07301,12,
80,376900,08625,12,
17,123100,08102,12,
37,171600,10505,12,
63,53900,08101,12,
68,106800,01500,12,
56,170000,11501,12,
81,62000,12703,12,
68,243000,12703,12,
213,51700,08622,12,
107,13100,10502,12,
43,75900,05708,12,
266,31200,11704,12,
43,106980,04798,12,
68,579000,01109,12,
75,94000,09902,12,
38,73200,12702,12,
78,82600,04798,12,
98,100000,08608,12,
122,72000,08301,12,
57,180400,07301,12,
77,97500,09909,12,
81,100050,11300,12,
67,51700,08619,12,
46,125000,03105,12,
65,64700,05998,12,
132,63100,05706,12,
70,477800,08102,12,
61,626000,08616,12,
89,105800,05705,12,
74,42900,08301,12,
61,149000,01109,12,
83,135000,07104,12,
386,37600,01113,12,
90,31600,09902,12,
276,173000,01116,12,
105,57140,06902,12,
58,131100,00905,12,
80,175000,10501,12,
65,94000,11501,12,
54,186600,10301,12,
23,158000,00398,12,
55,41100,00903,12,
92,104000,06903,12,
98,140000,09510,12,
43,65000,11101,12,
157,110000,10101,12,
84,77200,02103,12,
137,93000,08302,12,
102,51400,05708,12,
57,60600,02799,12,
133,70000,09507,12,
65,33000,03102,12,
109,29900,01116,12,
63,90000,11503,12,
45,94700,11701,12,
357,60000,03106,12,
221,110000,09909,12,
200,29400,01101,12,
56,20000,08609,12,
71,242000,09901,12,
71,48000,10503,12,
56,339000,08601,12,
113,21000,10799,12,
185,204000,00903,12,
10,558300,06100,12,
50,58000,08614,12,
73,120000,08101,12,
175,107000,09702,12,
30,582000,09910,12,
59,624000,01115,12,
272,134000,07302,12,
29,360000,07103,12,
108,56800,03500,12,
50,123000,03106,12,
51,35000,09102,12,
28,58200,10305,12,
50,52710,05704,12,
84,20100,08615,12,
120,137500,00902,12,
90,56350,10502,12,
138,133020,08615,12,
52,33100,07101,12,
119,72400,11101,12,
77,129350,08103,12,
288,18000,05705,12,
47,23470,08620,12,
72,110400,01700,12,
167,63300,08619,12,
82,1500,05300,12,
47,130000,01500,12,
18,80510,03105,12,
178,49100,02103,12,
108,23600,02102,12,
452,299000,10307,12,
58,219000,12701,12,
61,140000,05704,12,
205,100200,08500,12,
28,132000,08103,12,
53,52000,03102,12,
42,16200,11300,12,
54,65000,00904,12,
40,78800,09507,12,
97,156100,08621,12,
58,26620,12703,12,
58,73450,05707,12,
78,56600,11501,12,
95,37300,00398,12,
29,85400,11503,12,
42,234500,09905,12,
424,168300,10101,12,
198,24600,08606,12,
51,150500,03303,12,
62,91700,08618,12,
78,42700,09501,12,
253,75000,03107,12,
173,42000,08607,12,
53,15700,01500,12,
80,122700,10505,12,
58,73300,00901,12,
223,41900,00904,12,
225,202200,11502,12,
100,43100,05704,12,
231,22200,09503,12,
31,38500,09501,12,
62,108880,07301,12,
138,86000,05300,12,
192,51000,00102,12,
86,29100,00903,12,
60,175150,00905,12,
99,82200,11900,12,
127,100000,01106,12,
166,76900,00798,12,
51,126100,10304,12,
