Income,Number,Mean_income,Standard_error
"Under $5,000",4305,877,47
"$5,000 to $9,999",2131,7626,57
"$10,000 to $14,999",4536,12440,37
"$15,000 to $19,999",4725,17350,38
"$20,000 to $24,999",5047,22250,40
"$25,000 to $29,999",4728,27210,43
"$30,000 to $34,999",5285,32000,34
"$35,000 to $39,999",4674,37080,38
"$40,000 to $44,999",4761,41960,38
"$45,000 to $49,999",4453,47130,42
"$50,000 to $54,999",4838,51880,38
"$55,000 to $59,999",4252,57030,40
"$60,000 to $64,999",4463,61880,47
"$65,000 to $69,999",3867,67100,50
"$70,000 to $74,999",3904,71990,49
"$75,000 to $79,999",3669,76970,43
"$80,000 to $84,999",3505,81950,46
"$85,000 to $89,999",3061,87090,49
"$90,000 to $94,999",3132,91930,51
"$95,000 to $99,999",2838,97140,52
"$100,000 to $104,999",3312,101800,48
"$105,000 to $109,999",2321,107100,57
"$110,000 to $114,999",2462,112000,54
"$115,000 to $119,999",2188,117100,62
"$120,000 to $124,999",2421,121800,52
"$125,000 to $129,999",2086,127100,57
"$130,000 to $134,999",1996,132000,50
"$135,000 to $139,999",1730,137000,62
"$140,000 to $144,999",1680,141900,67
"$145,000 to $149,999",1375,147200,78
"$150,000 to $154,999",2005,151900,62
"$155,000 to $159,999",1389,157000,69
"$160,000 to $164,999",1461,162000,71
"$165,000 to $169,999",1131,167100,79
"$170,000 to $174,999",1144,172100,72
"$175,000 to $179,999",1043,177100,80
"$180,000 to $184,999",1106,182100,75
"$185,000 to $189,999",921,187100,95
"$190,000 to $194,999",940,192100,83
"$195,000 to $199,999",889,197200,98
"$200,000 to $249,999",6024,221100,320
"$250,000 and over",9636,426600,4531
