Date,FICO_TransUnion,FICO_Experian,Vantage3_TransUnion,Vantage3_Experian
5/28/2024,793,797,813,804
8/6/2023,803,797,807,797
5/29/2023,791,,811,802
1/1/2023,767,779,806,802
8/17/2022,,,796,
4/1/2022,777,,805,795
12/31/2021,773,774,801,785
11/1/2021,778,,801,
10/1/2021,787,791,800,784
9/3/2021,798,794,801,779
8/1/2021,794,,801,
7/1/2021,788,789,802,786
6/1/2021,799,781,802,785
5/1/2021,799,779,802,783
4/5/2021,,,802,
4/1/2021,782,771,773,787
3/1/2021,766,771,773,769
2/1/2021,773,771,769,766
12/25/2020,778,771,769,766
11/25/2020,759,760,769,766
11/5/2020,,760,769,766
10/25/2020,766,760,768,765
9/26/2020,778,768,768,765
8/24/2020,773,,768,
8/7/2020,766,762,768,
7/25/2020,766,762,756,
6/19/2020,837,,767,
5/29/2020,826,794,767,
5/6/2020,824,794,766,
4/3/2020,,,756,
3/26/2020,824,,752,
2/19/2020,815,,,
2/17/2020,,,752,
1/24/2020,809,,765,
1/6/2020,,,766,
12/30/2019,817,,766,
12/7/2019,,,753,
12/2/2019,,756,,
11/21/2019,809,,753,
11/1/2019,806,,753,
10/18/2019,806,,765,
10/1/2019,,763,765,
9/27/2019,806,,763,
9/4/2019,,,762,
8/22/2019,802,,759,
8/15/2019,,,758,
7/25/2019,796,,758,
7/18/2019,,,756,
7/4/2019,,,756,
6/25/2019,774,,,
6/19/2019,,,739,
6/12/2019,,,741,
6/5/2019,,,740,
5/22/2019,765,,721,
5/15/2019,,,721,
4/22/2019,765,,720,
4/17/2019,,,721,
4/7/2019,,,721,
4/3/2019,,,745,
3/27/2019,,,745,
3/19/2019,767,,751,
