"","cards"
"Blue Cash Preferred",51899
"Blue Cash Everyday",2603
"Everyday Preferred",297
"Everyday",150
"Green",27
"Gold",24817
"Platinum",23371
"Freedom Unlimited",10684
"Sapphire Preferred",26903
"Sapphire Reserve",20716
"Amazon Prime",51959
"Premium Rewards",71
"Travel Rewards",0
"Unlimited Rewards",0
"Customized Cash Dining",0
"Customized Cash Online",0
"Customized Cash Gas",0
"Customized Cash Home",15380
"Customized Cash Drug",0
"Double/Active Cash",11537
"Strata Premier",3362
"Custom Cash Gas",14471
"Custom Cash Groceries",8503
"Custom Cash Dining",20485
"Custom Cash Streaming",4
"Custom Cash Drugs",297
"Custom Cash Home",22720
"Custom Cash Entertainment",807
"Venture X",32847
"Venture",33485
"Venture One",201
"Savor",130
"Savor One",3992
"Altitude Connect",2
"Altitude Go",18596
"Autograph Journey",0
"Autograph",49318
